,train_bjn,val_bjn,test_bjn,test_hug
bootstrap_rmse,6.069637425074125,5.787382317315265,6.350687413826471,4.38480747220041
bootstrap_rmse_ci_lower,5.195345370425163,4.343007725471983,4.667900228752271,3.875962372841312
bootstrap_rmse_ci_upper,7.059731239096132,7.258714630595127,8.411010999205432,4.890550174824524
bootstrap_mae,4.995120959611439,4.802110594344956,5.0335899920540035,3.7692665097179794
bootstrap_mae_ci_lower,4.443957391500496,3.604802955404173,3.661952512956135,3.2528354531951185
bootstrap_mae_ci_upper,5.658434734826714,6.0737197954759985,6.711927915452084,4.2787598988662054
bootstrap_correlation,0.4704944851071269,0.527107210123529,0.45263857598350227,0.40372633988086537
bootstrap_correlation_ci_lower,0.31050762932895654,0.20550347102079125,0.11394696317069418,0.1880668268865428
bootstrap_correlation_ci_upper,0.6157191373297974,0.7932479477664005,0.7109453164584266,0.5775775972705094
rmse,6.090412358815918,5.823939524000439,6.471056154263735,4.38732546938144
mae,5.002128910113269,4.786928458830043,5.0566069912511855,3.7652101860115414
correlation,0.47199161138195345,0.5492908636252117,0.4642570720028319,0.4077260428109699
correlation_p_value,5.2666754628470666e-08,0.0036565453204218967,0.016883607108083953,0.00025639888217241505
bootstrap_balanced_accuracy_10,67.12806757802291,79.84517365589348,49.50585993169197,58.190719174234395
bootstrap_balanced_accuracy_10_ci_lower,58.106932352356175,63.39358660130719,30.625000000000004,47.98094996619338
bootstrap_balanced_accuracy_10_ci_upper,75.6148784597265,93.76736111111109,69.04761904761905,68.63669220499621
bootstrap_accuracy_10,67.54083333333332,81.04230769230772,50.07307692307692,52.44342105263159
bootstrap_accuracy_10_ci_lower,58.333333333333336,65.38461538461539,30.76923076923077,40.78947368421053
bootstrap_accuracy_10_ci_upper,75.83333333333333,92.40384615384608,69.23076923076923,64.47368421052632
bootstrap_sensitivity_10,73.35351853064064,92.84263449785509,57.528683254310174,38.72291558935447
bootstrap_sensitivity_10_ci_lower,61.76225490196079,76.47058823529412,30.0,25.579115367077065
bootstrap_sensitivity_10_ci_upper,83.93180641821945,100.0,83.33333333333334,52.50328947368421
bootstrap_specificity_10,60.90261662540516,66.84771281393185,41.48303660907376,77.6585227591143
bootstrap_specificity_10_ci_lower,47.27015437392796,37.5,13.333333333333334,60.86956521739131
bootstrap_specificity_10_ci_upper,73.58490566037736,91.68269230769229,71.42857142857143,92.5925925925926
optimal_threshold_for_10,11.35357528977347,11.35357528977347,11.35357528977347,11.35357528977347
auc_10,71.73549107142858,82.73809523809524,65.47619047619048,70.44595616024188
bootstrap_auc_10,71.7896249863705,82.49218599381422,65.70026561670316,70.40604947651475
bootstrap_auc_10_ci_lower,61.85866008527995,62.411255411255425,42.09950657894738,57.669869652406426
bootstrap_auc_10_ci_upper,81.0080599225336,97.7552973342447,85.81158424908423,81.87241535795732
accuracy_10,67.5,80.76923076923077,50.0,52.63157894736842
balanced_accuracy_10,67.07589285714286,79.76190476190477,49.404761904761905,58.27664399092971
sensitivity_10,73.4375,92.85714285714286,57.14285714285714,38.775510204081634
specificity_10,60.71428571428571,66.66666666666666,41.66666666666667,77.77777777777779
f1_10,70.67669172932331,83.87096774193549,55.172413793103445,51.35135135135135
bootstrap_balanced_accuracy_16,71.4506412254556,74.92271253943667,78.81545970726974,62.93488436245691
bootstrap_balanced_accuracy_16_ci_lower,63.78402194170587,63.1578947368421,67.5,48.46913422131148
bootstrap_balanced_accuracy_16_ci_upper,79.57985476799416,86.66666666666667,90.0,76.83171106557376
bootstrap_accuracy_16,65.24583333333332,65.3576923076923,69.03846153846153,68.41315789473684
bootstrap_accuracy_16_ci_lower,56.666666666666664,46.15384615384615,50.0,57.89473684210527
bootstrap_accuracy_16_ci_upper,73.33333333333333,80.76923076923077,88.46153846153845,78.94736842105263
bootstrap_sensitivity_16,85.70592931260614,100.0,100.0,52.92453965756066
bootstrap_sensitivity_16_ci_lower,72.22222222222221,100.0,100.0,27.77777777777778
bootstrap_sensitivity_16_ci_upper,96.875,100.0,100.0,77.79761904761902
bootstrap_specificity_16,57.19535313830506,49.845425078873355,57.630919414539484,72.94522906735317
bootstrap_specificity_16_ci_lower,46.749188311688314,26.31578947368421,35.0,61.014962923728824
bootstrap_specificity_16_ci_upper,67.44256094144018,73.33333333333333,80.0,84.21052631578947
optimal_threshold_for_16,11.402449435528121,11.402449435528121,11.402449435528121,11.402449435528121
auc_16,75.47879616963064,79.86111111111111,88.7218045112782,73.28015952143569
bootstrap_auc_16,75.75130896350304,79.68476831902937,88.90784232630124,73.27179473186834
bootstrap_auc_16_ci_lower,65.79415058021229,59.16319444444444,73.73958333333334,59.83248565762983
bootstrap_auc_16_ci_upper,84.95607915058693,93.75587406015036,100.0,85.18021382281727
accuracy_16,65.0,65.38461538461539,69.23076923076923,68.42105263157895
balanced_accuracy_16,71.13543091655266,75.0,78.94736842105263,62.91126620139581
sensitivity_16,85.29411764705883,100.0,100.0,52.94117647058824
specificity_16,56.97674418604651,50.0,57.89473684210527,72.88135593220339
f1_16,57.99999999999999,64.0,63.63636363636363,42.857142857142854
