,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0004813671112060547,8.022833012045802e-05,0.00019259452819824218,2.10907613949002e-05,0.05,{'alpha': 0.05},-25.095178863187666,-31.76749289390923,-23.323609857065478,-32.32100198190778,-14.853540923869561,-25.47216490398794,6.388290950110762,4,-24.478416836994146,-22.749047656258977,-25.044196384200415,-22.69251400682118,-26.98987485872681,-24.390809948600307,1.598081333261137
1,0.00043787956237792967,9.375156957584006e-06,0.00018415451049804687,5.463064033917106e-06,0.1,{'alpha': 0.1},-25.096564502288107,-31.769809691068204,-23.32293670506027,-32.32246015980824,-14.846312158459993,-25.47161664333696,6.391492431907768,3,-24.478427850792876,-22.74905890495125,-25.04420822209411,-22.69252453776434,-26.989891010022056,-24.390822105124926,1.598083126102811
2,0.00045638084411621095,1.1106723813752241e-05,0.0001918315887451172,8.352956724807701e-06,0.5,{'alpha': 0.5},-25.107873663217323,-31.78796466121738,-23.31770948614564,-32.33432593598505,-14.789485081071085,-25.467471765527296,6.416736007180958,2,-24.478789730267934,-22.749372254342386,-25.044590772547078,-22.69287440454999,-26.990393634408157,-24.39120415922311,1.5981431216340583
3,0.0004425525665283203,7.844514741012113e-06,0.00018339157104492189,5.443885088543922e-06,1.0,{'alpha': 1},-25.122560477664752,-31.811431657371422,-23.311920153643896,-32.34314515491913,-14.720924299495486,-25.461996348618936,6.446304534438768,1,-24.479915346478688,-22.750353409234126,-25.04574932328258,-22.693419401642803,-26.991938265934987,-24.392275149314635,1.5984352018186352
