,lsn
0,0.2890604356938926
1,1.6029715070297714
2,0.8300826415380804
3,-0.4065395432486307
4,2.9168825783656533
5,-0.25196177015029175
6,0.13448266259555375
7,-2.647917253174543
8,-1.3340061818386637
9,1.371104847382265
10,1.293815960833094
11,5.312838061389901
12,1.061949301185587
13,-0.9475617490928149
14,5.776571380684918
15,-3.575383891764576
16,0.9073715280872481
17,6.2403046999799345
18,2.4531492590706367
19,0.36634932224306377
20,4.385371422799871
21,-3.4980950052154047
22,3.921638103504854
23,7.013193565471628
24,1.293815960833094
25,2.2985714859722983
26,-3.034361685920388
27,2.221282599423127
28,-0.8702728625436472
29,3.0714603514639927
30,-1.9523172742320194
31,-0.25196177015029175
32,-4.657428303452945
33,-0.020095110502785132
34,2.9168825783656533
35,-1.7204506145845093
36,-2.0296061607811873
37,-1.9523172742320194
38,1.6802603935789424
39,4.4626603093490385
40,0.13448266259555375
41,-2.261472820428697
42,6.008438040332427
43,-1.8750283876828482
44,-2.261472820428697
45,-3.4980950052154047
46,3.380615897660667
47,0.057193776046386015
48,-1.8750283876828482
49,-1.9523172742320194
50,-0.7156950894453084
51,-3.9618283245104213
52,4.6945269689965485
53,3.921638103504854
54,-2.493339480076204
55,0.36634932224306377
56,6.008438040332427
57,-0.09738399705195287
58,0.057193776046386015
59,-4.889294963100454
60,5.003682515193226
61,-0.6384062028961407
62,-5.353028282395472
63,-1.4112950683878314
64,0.8300826415380804
65,0.6755048684397414
66,2.6077270321689756
67,5.776571380684918
68,-2.9570727993712205
69,0.7527937549889093
70,-0.7929839759944761
71,-0.5611173163469695
72,0.057193776046386015
73,0.13448266259555375
74,5.621993607586578
75,-4.966583849649623
