,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.009462547302246094,0.00015820098770373428,0.0002707958221435547,2.179328401624778e-05,0.05,{'alpha': 0.05},-31.693019543308168,-30.412016169889732,-41.28556512893202,-41.402803166324325,-34.0187213428924,-35.76242507026933,4.702050204050419,4,-30.745592183410515,-30.240486601635464,-27.10427470716373,-26.976628230006355,-28.967052790936503,-28.806806902630512,1.5548745569566935
1,0.00964341163635254,0.0001093287469609924,0.0002644062042236328,1.7635240663831406e-05,0.1,{'alpha': 0.1},-31.541417749773238,-30.423385093271428,-41.25278072608188,-41.386568115179834,-34.058949076181,-35.732620152097475,4.711573615880165,3,-30.752115426615717,-30.247926493804634,-27.109010220733087,-26.984304103614363,-28.969610812796148,-28.81259341151279,1.5550831906865283
2,0.007477855682373047,0.0011792186258101928,0.0002465248107910156,1.6190710621171088e-05,0.5,{'alpha': 0.5},-30.613454009113365,-30.54821213820763,-41.111497818421576,-41.35195072020442,-34.33641235521664,-35.59230540823273,4.805082819520243,2,-30.82854375626938,-30.318338100606013,-27.183153624333105,-27.066289087587084,-29.012231400681085,-28.88171119389533,1.552542731171945
3,0.005343008041381836,0.0005932130109560653,0.00025582313537597656,2.395317792305338e-05,1.0,{'alpha': 1},-29.82360123964982,-30.701344854173293,-41.06946529965175,-41.40643049766656,-34.45622613815161,-35.491413605858604,4.944543543881903,1,-30.937193260381253,-30.397155344052898,-27.296569657626105,-27.169386602573447,-29.08022404223705,-28.976105781374155,1.5466843475107588
