,feature_name,coef
0,0,-0.061928454669783424
1,1,0.5109998716339202
2,2,1.3178096829316444
3,3,-2.377180574487961
4,4,-2.9535267817949613
5,5,0.7897950832120945
6,6,0.2449992349114367
7,7,-0.4000269617097074
8,8,-0.6549610511983288
9,9,-1.0937532123426814
10,10,-0.5143953726104473
11,11,0.5685647599906423
12,12,-0.6766684890736862
13,13,-0.7769946392869207
14,14,0.6365039594966625
15,15,-0.2584690143142234
16,16,0.01943994828523103
17,17,-0.07419212023033384
18,18,0.05463969716425129
19,19,0.7438999985191449
