,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.08484373460805997,-0.4146311181150122,1.340070347544826,-1.2970313655658483,0.8472413392531011,-1.1141871469849514,0.03492189718570756,-0.045120929442821395,-0.7112802589948309,-0.3495474599488221,-0.5405648574742228,-0.8777189985758146,-0.3674830493217328,1.2119963613597646,-1.0915863208644836,0.18097892181128064,-0.010984274008634191,0.10356525686150125,-0.01565799310089795,0.2081605355782268
1,-0.09417109643393727,-0.3253189656710175,1.14107053424382,-0.9256268679238322,1.192693404381409,-1.1460459023445115,-0.005513934533888776,-0.07859197719112873,-0.7774328045612453,-0.2511070673136752,-0.6001012641105695,-0.7738140240266166,-0.3822072495593164,1.252259747373471,-1.1659754096579806,0.22128365644051776,-0.010201097545927509,0.1306317952541788,-0.019826135854753752,-0.062014412053747796
2,-0.08628271206580461,-0.34494695833818717,1.1673749291132414,-0.6855396897882666,1.6241111093620932,-0.914527898903927,0.017491284836646595,-0.05942321453159762,-0.737645203718632,-0.17934581505278524,-0.6175430920914613,-0.8182343416881557,-0.3300896813313278,0.9528386692572005,-1.1736567671056808,0.1513805003722228,-0.011274437202592233,0.12550030254318345,-0.019408548938623742,-0.13201325063409214
3,-0.08586560704168696,-0.32594626537248256,1.4994001858109176,-0.3930441388380636,1.8988237411353657,-0.9480753584200643,-0.03453124632345815,-0.13318169300489097,-0.7007368813329603,-0.05480495115234482,-0.5508522278589032,-0.9064175232531896,-0.5646147557190887,1.1538395357244524,-1.2626735784273937,0.07634576450086901,-0.01400466647250611,0.13914457268941868,-0.01383821008621164,-0.06646562910017663
4,-0.08351538362082926,-0.3715603788848772,1.9923562217737274,0.16008658099441264,1.3437524530229217,-1.0488732299786963,0.006314197190643895,-0.005612513448016592,-0.7228799825175024,0.021106664898408962,-0.5777518906087691,-0.868967659408528,-0.4048824627623069,0.9172847805827743,-1.1219464115093796,0.12780154272472424,-0.020234273354805297,0.14983327316061681,-0.04872341236925763,-0.17681995458894742
5,-0.08867563198745458,-0.3594657373986046,1.8695505369080072,-0.22408707871791225,1.5972094124855694,-1.0435154840023557,-0.00929422915177392,-0.05172412245747589,-0.46200716166541633,-0.043053543750671365,-0.6731712705073811,-0.7385984597813136,-0.3594545091344803,0.8688370105066261,-1.2167151616563503,0.1280145108938367,-0.021641369039387636,0.1499863441856877,-0.039890865836638964,-0.4601296859198379
6,-0.08245389293479506,-0.36380025591704357,1.85629611017877,-0.48795705721210836,1.629979542652438,-0.9574795754270496,0.039310496169292705,0.0002757917718758845,-0.38284648105517133,0.21865046990977796,-0.6324624826136408,-0.7587781577399713,-0.45153955012402214,0.9994907510795668,-1.3587146071557727,0.16211643369464976,-0.01763857835107845,0.1406133124742679,-0.02353562147035987,-0.41817576031211706
7,-0.086256013150829,-0.2799782016619973,2.0570921482690174,0.00476740083490589,0.9570018479922215,-0.8461923239484456,0.04202077107786402,0.12462012614475114,-0.4827046130215984,0.039293043408584326,-0.4298801478746335,-0.6079654083225418,-0.48170659094345475,0.6633667417486734,-1.339984213876233,0.1815511418849475,-0.012708382135375935,0.14712699978506305,-0.03485114725252113,-0.27305586373144763
8,-0.08480888926335241,-0.25408733672949757,2.0962011307872923,0.8833309401850509,-0.01353180075317141,-0.8396927941037894,0.025525146514579603,0.18625671663336218,-0.739584826320955,-0.08018194761133347,-0.49831144509378944,-0.34835620123489824,-0.21290709730411006,0.46886266376685837,-0.9018337064345532,0.20808313027731645,-0.015285686208768553,0.14885480856493746,-0.06486259895269471,-0.14241349544092982
9,-0.08177744160729462,-0.2648110711975844,1.98946454436168,1.6509758477714327,-0.33627668402301114,-1.0390081039073058,0.0051857928161849936,0.02226101605029503,-0.6900343456138813,-0.32179866864564943,-0.6361995014233851,-0.23957151661420334,-0.19449512464110344,0.49054233335258907,-0.7968931111975146,0.29606442792794146,-0.02111936627832801,0.13022587184133722,-0.09557568674924245,-0.3194062156640101
