,feature_name,coef
0,0,-2.967353209851787
1,1,-0.0
2,2,0.04457699576290466
3,3,-0.1016898627654625
4,4,0.605847940946345
5,5,-0.9058683414309722
6,6,-0.4973471434576626
7,7,0.9617387471826727
8,8,0.0
9,9,-0.11792410032400003
10,10,-0.0
11,11,-0.19455414086420914
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.43605497734473536
17,17,0.0
18,18,-0.0
19,19,0.22720538003290447
20,20,0.0
21,21,-0.43210735036876163
22,22,-0.0
23,23,0.0
24,24,0.3178612129049706
25,25,-0.6004928919141337
26,26,-0.0
27,27,-0.4059406304270603
28,28,0.19387463935626897
29,29,0.22179376381520405
