,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.00036373138427734373,6.930965468807262e-05,0.00016889572143554687,2.6730369996192328e-05,0.05,{'alpha': 0.05},-44.09472052235616,-33.317558589361525,-43.284843051548556,-51.19682302427639,-26.377720779050275,-39.65433319331858,8.746997914032052,4,-18.012035556556363,-18.638208063681766,-17.0097986321499,-16.010821684867413,-19.411415944893673,-17.816455976429822,1.19736681363853
1,0.0003162860870361328,1.2540545297436866e-05,0.00014753341674804686,5.7781961287311965e-06,0.1,{'alpha': 0.1},-44.667888515561586,-33.68135338470118,-41.10596737247392,-49.33787192954078,-24.483260801982375,-38.655268400851966,8.739120942231914,3,-18.207323422700185,-18.870181099118263,-17.257358694631222,-16.27399006540419,-19.67001531981083,-18.055773720332937,1.1919917934809832
2,0.0003202915191650391,2.8394842016142664e-06,0.00015435218811035156,4.913042782742026e-06,0.5,{'alpha': 0.5},-43.34191371059921,-40.57017277455266,-32.74561081402761,-42.655186344245905,-20.636943239977356,-35.98996537668055,8.552142888386628,1,-22.235360060047956,-24.14867157142291,-22.828743762842034,-21.413568336034313,-25.59046914087939,-23.24336257424532,1.474084013690898
3,0.00031595230102539064,4.903314434274775e-06,0.00015282630920410156,5.519789172549355e-06,1.0,{'alpha': 1},-39.475658265172605,-45.30433359931433,-33.55398059438833,-42.248981741037845,-24.65464189349595,-37.04751921868181,7.306357174862503,2,-29.794206769049538,-30.382536356283175,-31.745008650832098,-29.981481141671917,-34.702589217223164,-31.32116442701198,1.8232416837770133
